1,2
3,4
5,6
7,8
9,10
11,12
13,14
15,16
17,18
19,20
1,21
2,4
3,6
5,8
7,10
9,12
11,14
13,16
15,18
17,20
19,21
1,4
2,6
3,8
5,10
7,12
9,14
11,16
13,18
15,20
17,21
1,19
4,6
2,8
3,10
5,12
7,14
9,16
11,18
13,20
15,21
17,19
1,6
4,8
2,10
3,12
5,14
7,16
9,18
11,20
13,21
15,19
1,17
6,8
4,10
2,12
3,14
5,16
7,18
9,20
11,21
13,19
15,17
1,8
6,10
4,12
2,14
3,16
5,18
7,20
9,21
11,19
13,17
1,15
8,10
6,12
4,14
2,16
3,18
5,20
7,21
9,19
11,17
13,15
1,10
8,12
6,14
4,16
2,18
3,20
5,21
7,19
9,17
11,15
1,13
10,12
8,14
6,16
4,18
2,20
3,21
5,19
7,17
9,15
11,13
1,12
10,14
8,16
6,18
4,20
2,21
3,19
5,17
7,15
9,13
1,11
12,14
10,16
8,18
6,20
4,21
2,19
3,17
5,15
7,13
9,11
1,14
12,16
10,18
8,20
6,21
4,19
2,17
3,15
5,13
7,11
1,9
14,16
12,18
10,20
8,21
6,19
4,17
2,15
3,13
5,11
7,9
1,16
14,18
12,20
10,21
8,19
6,17
4,15
2,13
3,11
5,9
1,7
16,18
14,20
12,21
10,19
8,17
6,15
4,13
2,11
3,9
5,7
1,18
16,20
14,21
12,19
10,17
8,15
6,13
4,11
2,9
3,7
1,5
18,20
16,21
14,19
12,17
10,15
8,13
6,11
4,9
2,7
3,5
1,20
18,21
16,19
14,17
12,15
10,13
8,11
6,9
4,7
2,5
1,3
20,21
18,19
16,17
14,15
12,13
10,11
8,9
6,7
4,5
2,3
