1,2
3,4
5,6
7,8
9,10
11,12
13,14
1,4
2,6
3,8
5,10
7,12
9,14
11,13
1,6
4,8
2,10
3,12
5,14
7,13
9,11
1,8
6,10
4,12
2,14
3,13
5,11
7,9
1,10
8,12
6,14
4,13
2,11
3,9
5,7
1,12
10,14
8,13
6,11
4,9
2,7
3,5
1,14
12,13
10,11
8,9
6,7
4,5
2,3
1,13
14,11
12,9
10,7
8,5
6,3
4,2
1,11
13,9
14,7
12,5
10,3
8,2
6,4
1,9
11,7
13,5
14,3
12,2
10,4
8,6
1,7
9,5
11,3
13,2
14,4
12,6
10,8
1,5
7,3
9,2
11,4
13,6
14,8
12,10
1,3
5,2
7,4
9,6
11,8
13,10
14,12
