1,2
3,4
5,6
7,8
9,10
11,12
13,14
15,16
17,18
19,20
21,22
23,24
1,4
2,6
3,8
5,10
7,12
9,14
11,16
13,18
15,20
17,22
19,24
21,23
1,6
4,8
2,10
3,12
5,14
7,16
9,18
11,20
13,22
15,24
17,23
19,21
1,8
6,10
4,12
2,14
3,16
5,18
7,20
9,22
11,24
13,23
15,21
17,19
1,10
8,12
6,14
4,16
2,18
3,20
5,22
7,24
9,23
11,21
13,19
15,17
1,12
10,14
8,16
6,18
4,20
2,22
3,24
5,23
7,21
9,19
11,17
13,15
1,14
12,16
10,18
8,20
6,22
4,24
2,23
3,21
5,19
7,17
9,15
11,13
1,16
14,18
12,20
10,22
8,24
6,23
4,21
2,19
3,17
5,15
7,13
9,11
1,18
16,20
14,22
12,24
10,23
8,21
6,19
4,17
2,15
3,13
5,11
7,9
1,20
18,22
16,24
14,23
12,21
10,19
8,17
6,15
4,13
2,11
3,9
5,7
1,22
20,24
18,23
16,21
14,19
12,17
10,15
8,13
6,11
4,9
2,7
3,5
1,24
22,23
20,21
18,19
16,17
14,15
12,13
10,11
8,9
6,7
4,5
2,3
1,23
24,21
22,19
20,17
18,15
16,13
14,11
12,9
10,7
8,5
6,3
4,2
1,21
23,19
24,17
22,15
20,13
18,11
16,9
14,7
12,5
10,3
8,2
6,4
1,19
21,17
23,15
24,13
22,11
20,9
18,7
16,5
14,3
12,2
10,4
8,6
1,17
19,15
21,13
23,11
24,9
22,7
20,5
18,3
16,2
14,4
12,6
10,8
1,15
17,13
19,11
21,9
23,7
24,5
22,3
20,2
18,4
16,6
14,8
12,10
1,13
15,11
17,9
19,7
21,5
23,3
24,2
22,4
20,6
18,8
16,10
14,12
1,11
13,9
15,7
17,5
19,3
21,2
23,4
24,6
22,8
20,10
18,12
16,14
1,9
11,7
13,5
15,3
17,2
19,4
21,6
23,8
24,10
22,12
20,14
18,16
1,7
9,5
11,3
13,2
15,4
17,6
19,8
21,10
23,12
24,14
22,16
20,18
1,5
7,3
9,2
11,4
13,6
15,8
17,10
19,12
21,14
23,16
24,18
22,20
1,3
5,2
7,4
9,6
11,8
13,10
15,12
17,14
19,16
21,18
23,20
24,22
