1,2
3,4
5,6
7,8
9,10
11,12
13,14
15,16
17,18
19,20
21,22
23,24
25,26
27,28
1,29
2,4
3,6
5,8
7,10
9,12
11,14
13,16
15,18
17,20
19,22
21,24
23,26
25,28
27,29
1,4
2,6
3,8
5,10
7,12
9,14
11,16
13,18
15,20
17,22
19,24
21,26
23,28
25,29
1,27
4,6
2,8
3,10
5,12
7,14
9,16
11,18
13,20
15,22
17,24
19,26
21,28
23,29
25,27
1,6
4,8
2,10
3,12
5,14
7,16
9,18
11,20
13,22
15,24
17,26
19,28
21,29
23,27
1,25
6,8
4,10
2,12
3,14
5,16
7,18
9,20
11,22
13,24
15,26
17,28
19,29
21,27
23,25
1,8
6,10
4,12
2,14
3,16
5,18
7,20
9,22
11,24
13,26
15,28
17,29
19,27
21,25
1,23
8,10
6,12
4,14
2,16
3,18
5,20
7,22
9,24
11,26
13,28
15,29
17,27
19,25
21,23
1,10
8,12
6,14
4,16
2,18
3,20
5,22
7,24
9,26
11,28
13,29
15,27
17,25
19,23
1,21
10,12
8,14
6,16
4,18
2,20
3,22
5,24
7,26
9,28
11,29
13,27
15,25
17,23
19,21
1,12
10,14
8,16
6,18
4,20
2,22
3,24
5,26
7,28
9,29
11,27
13,25
15,23
17,21
1,19
12,14
10,16
8,18
6,20
4,22
2,24
3,26
5,28
7,29
9,27
11,25
13,23
15,21
17,19
1,14
12,16
10,18
8,20
6,22
4,24
2,26
3,28
5,29
7,27
9,25
11,23
13,21
15,19
1,17
14,16
12,18
10,20
8,22
6,24
4,26
2,28
3,29
5,27
7,25
9,23
11,21
13,19
15,17
1,16
14,18
12,20
10,22
8,24
6,26
4,28
2,29
3,27
5,25
7,23
9,21
11,19
13,17
1,15
16,18
14,20
12,22
10,24
8,26
6,28
4,29
2,27
3,25
5,23
7,21
9,19
11,17
13,15
1,18
16,20
14,22
12,24
10,26
8,28
6,29
4,27
2,25
3,23
5,21
7,19
9,17
11,15
1,13
18,20
16,22
14,24
12,26
10,28
8,29
6,27
4,25
2,23
3,21
5,19
7,17
9,15
11,13
1,20
18,22
16,24
14,26
12,28
10,29
8,27
6,25
4,23
2,21
3,19
5,17
7,15
9,13
1,11
20,22
18,24
16,26
14,28
12,29
10,27
8,25
6,23
4,21
2,19
3,17
5,15
7,13
9,11
1,22
20,24
18,26
16,28
14,29
12,27
10,25
8,23
6,21
4,19
2,17
3,15
5,13
7,11
1,9
22,24
20,26
18,28
16,29
14,27
12,25
10,23
8,21
6,19
4,17
2,15
3,13
5,11
7,9
1,24
22,26
20,28
18,29
16,27
14,25
12,23
10,21
8,19
6,17
4,15
2,13
3,11
5,9
1,7
24,26
22,28
20,29
18,27
16,25
14,23
12,21
10,19
8,17
6,15
4,13
2,11
3,9
5,7
1,26
24,28
22,29
20,27
18,25
16,23
14,21
12,19
10,17
8,15
6,13
4,11
2,9
3,7
1,5
26,28
24,29
22,27
20,25
18,23
16,21
14,19
12,17
10,15
8,13
6,11
4,9
2,7
3,5
1,28
26,29
24,27
22,25
20,23
18,21
16,19
14,17
12,15
10,13
8,11
6,9
4,7
2,5
1,3
28,29
26,27
24,25
22,23
20,21
18,19
16,17
14,15
12,13
10,11
8,9
6,7
4,5
2,3
